type,sample.sample_id,sequencing_file_id,file_name,data_category,file_type,file_description,file_size,md5sum,file_mapping_level,file_access,acl,authz,file_url,dcf_indexd_guid,checksum_algorithm,checksum_value,library_id,library_selection,library_strategy,library_layout,library_source_material,library_source_molecule,number_of_bp,number_of_reads,design_description,platform,instrument_model,avg_read_length,coverage,reference_genome_assembly,custom_assembly_fasta_file_for_alignment,sequence_alignment_software,cDNA_read,cDNA_read_size,cDNA_read_offset,cell_barcode_offset,cell_barcode_read,cell_barcode_size,single_cell_entity,dissociation_method,end_bias,total_number_of_input_cells,library_construction_method,library_strand,protocols_link,reverse_transcription_primer,spike_in,UMI_barcode_offset,UMI_barcode_read,UMI_barcode_size,crdc_id,id,sample.id
sequencing_file,10C0086-757-02,SCAF1606_P3_Seq2_HKVCFBGXG_GEX_S7_L002_I1_001.fastq.gz,SCAF1606_P3_Seq2_HKVCFBGXG_GEX_S7_L002_I1_001.fastq.gz,Sequencing,fastq,NA,114897424,f60cc631d4b0fa22d04ae3b7cbe5c3e4,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/SCAF1606_P3_Seq2_HKVCFBGXG_GEX_S7_L002_I1_001.fastq.gz,dg.4DFC/89eaf4af-d3e0-4599-8548-2283d52f6c28,NA,NA,SCAF1606_P3,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,000ad2c3-cb1c-577e-85f0-4026aa777df4,a0f4b81a-ebd5-53ce-b573-c1ff1464dd17
sequencing_file,08C0079-121-01-D,CCDI0072_3_rep4_Seq1_GEX_S4_L002_I2_001.fastq.gz,CCDI0072_3_rep4_Seq1_GEX_S4_L002_I2_001.fastq.gz,Sequencing,fastq,NA,774556761,4abb03a6dd719e27a162b7e29eaaa4d5,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/CCDI0072_3_rep4_Seq1_GEX_S4_L002_I2_001.fastq.gz,dg.4DFC/5407bc8c-f62e-4b28-af9e-8253616369bf,NA,NA,CCDI0072_3_rep4,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,Illumina NovaSeq 6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00176998-4b24-5111-9d0c-cbbd68134c9a,a7639861-82fe-5e7c-a67b-1a57b62637b8
sequencing_file,08C0079-068-01-B,S01_hg19_Seq3_HLFKWBGX7_GEX_S1_L004_R1_001.fastq.gz,S01_hg19_Seq3_HLFKWBGX7_GEX_S1_L004_R1_001.fastq.gz,Sequencing,fastq,NA,441823894,2b42ef92b6c184f7b0ca0369a2668b8c,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/S01_hg19_Seq3_HLFKWBGX7_GEX_S1_L004_R1_001.fastq.gz,dg.4DFC/3e1339f1-6f66-4816-81f1-d4e586d43189,NA,NA,S01_hg19,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,001b36ad-f994-54b8-8068-a76bdf92d630,a4115848-4c3d-5844-8ba5-8bc42920ed96
sequencing_file,08C0079-032-15,SCAF1191_2-2-RGL_0_1_HVF2GBGXC_S1_L004_R2_001.fastq.gz,SCAF1191_2-2-RGL_0_1_HVF2GBGXC_S1_L004_R2_001.fastq.gz,Sequencing,fastq,NA,440973488,aaa859c6f0412a1bb98726b24fb23b24,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/SCAF1191_2-2-RGL_0_1_HVF2GBGXC_S1_L004_R2_001.fastq.gz,dg.4DFC/115c4d47-f369-42fc-b1cc-345a94e6aec6,NA,NA,SCAF1191_2-2-RGL,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00211995-f999-5603-ae31-8562886e9ac3,ed302fc9-4dc7-50de-a35e-ab824fbdd791
sequencing_file,08C0079-152-04,SCAF490_T1_2_Seq3_HHJ3YBGX9_S2_L001_R2_001.fastq.gz,SCAF490_T1_2_Seq3_HHJ3YBGX9_S2_L001_R2_001.fastq.gz,Sequencing,fastq,NA,1618441790,f7d601155091940179829d7efd94a385,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/SCAF490_T1_2_Seq3_HHJ3YBGX9_S2_L001_R2_001.fastq.gz,dg.4DFC/29bfea70-1a1e-46cd-ade0-3b930201ede8,NA,NA,SCAF490_T12,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00281899-2278-57c1-869e-e46c6c7723d5,9706b832-fe15-584b-bf1f-b23af472c833
sequencing_file,08C0079-236-02,S06_Seq4_HGCN5BGX5_S1_L001_I1_001.fastq.gz,S06_Seq4_HGCN5BGX5_S1_L001_I1_001.fastq.gz,Sequencing,fastq,NA,217333576,ebfa4cd79c99d83320f09ef416a4296b,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/S06_Seq4_HGCN5BGX5_S1_L001_I1_001.fastq.gz,dg.4DFC/2594d047-32cc-4666-8838-d765c3b8b7b0,NA,NA,S06_Seq1n2n3n4,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,002defb6-0eff-5944-97b6-242d1dcd7127,d934f947-3ae3-5806-a0d7-3b6af0a6f7b4
sequencing_file,08C0079-068-01-B,S02_hg19_Seq5_HLFL7BGX7_GEX_S2_L001_R1_001.fastq.gz,S02_hg19_Seq5_HLFL7BGX7_GEX_S2_L001_R1_001.fastq.gz,Sequencing,fastq,NA,211986528,71628bd706fd4586a8c8ba327a02076e,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/S02_hg19_Seq5_HLFL7BGX7_GEX_S2_L001_R1_001.fastq.gz,dg.4DFC/057161ae-9bba-4af7-ac31-d8b34d7d5ce4,NA,NA,S02_hg19,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0068486a-db91-5381-9136-c0529cb58417,a4115848-4c3d-5844-8ba5-8bc42920ed96
sequencing_file,08C0079-229-01-E,SCAF2341_Tumor_3-2_Seq1_AAAJ2FJHV_GEX_S3_L001_I2_001.fastq.gz,SCAF2341_Tumor_3-2_Seq1_AAAJ2FJHV_GEX_S3_L001_I2_001.fastq.gz,Sequencing,fastq,NA,397427389,87dd1071af7703d038cfecf11e63eb62,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/SCAF2341_Tumor_3-2_Seq1_AAAJ2FJHV_GEX_S3_L001_I2_001.fastq.gz,dg.4DFC/81befee8-8226-4378-b538-6c44707003c2,NA,NA,SCAF2341_Tumor_3-2,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,Illumina NextSeq 2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,009186bb-2785-52e1-9df9-75f9a7a5c9e1,b746e151-c2f1-5bd8-a33f-8331da9a6067
sequencing_file,10C0086-1004-03,CCDI0244_NF1-Elbow-Rep1_Seq1_GEX_S5_L002_I2_001.fastq.gz,CCDI0244_NF1-Elbow-Rep1_Seq1_GEX_S5_L002_I2_001.fastq.gz,Sequencing,fastq,NA,364189213,decc7a3a2e7bf1088aede2917b0a55b1,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/CCDI0244_NF1-Elbow-Rep1_Seq1_GEX_S5_L002_I2_001.fastq.gz,dg.4DFC/d52dbedf-4ae5-4ff1-9406-d385884bfbee,NA,NA,CCDI0244_NF1-Elbow-Rep,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,Illumina NovaSeq 6000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00ac0c75-95a4-5cdc-b83f-d141f3efbfc6,01213a5b-c2fa-5168-9df3-b2c1946ff27f
sequencing_file,10C0086-757-02,SCAF1606_P3_Seq4_H7FVJBGXG_GEX_S7_L004_I1_001.fastq.gz,SCAF1606_P3_Seq4_H7FVJBGXG_GEX_S7_L004_I1_001.fastq.gz,Sequencing,fastq,NA,97577803,950e952140b4342ea52438b5b36a964a,Sample,Controlled,['phs003519'],['/programs/phs003519'],s3://cds-450-phs003519/SCAF1606_P3_Seq4_H7FVJBGXG_GEX_S7_L004_I1_001.fastq.gz,dg.4DFC/66fde974-a1d1-4687-8c96-272b5a749228,NA,NA,SCAF1606_P3,cDNA,RNA-Seq,Paired end,Single-cells,Genomic,NA,NA,single-cell RNA sequencing on a 10x Genomics platform,Illumina,NextSeq 550,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,00b70ee7-164a-5f14-9528-ee455fef0391,a0f4b81a-ebd5-53ce-b573-c1ff1464dd17
